state,district,annual,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,annual_avg
Madhya Pradesh,khargone,826.9,7.8,10.6,758.5,50.0,68.90833333333333
Madhya Pradesh,raisen,1200.5,19.6,14.6,1114.8,51.5,100.04166666666667
Madhya Pradesh,rajgarh,966.7,14.0,11.8,890.2,50.7,80.55833333333334
Madhya Pradesh,ratlam,947.8,6.6,9.2,871.3,60.7,78.98333333333333
Madhya Pradesh,sehore,1152.6,15.8,12.4,1067.5,56.9,96.05
Madhya Pradesh,shajapur,949.4,13.5,12.4,873.9,49.6,79.11666666666666
Madhya Pradesh,shivpuri,859.4,19.8,12.8,779.8,47.0,71.61666666666666
Madhya Pradesh,ujjain,905.7,8.5,8.2,833.7,55.3,75.47500000000001
Madhya Pradesh,bhopal,1087.7,18.8,18.7,998.6,51.6,90.64166666666667
Madhya Pradesh,harda,1128.3,15.2,10.4,1042.3,60.4,94.02499999999999
Madhya Pradesh,neemuch,813.8,7.3,12.1,747.4,47.0,67.81666666666666
Madhya Pradesh,sheopur,791.9,13.1,13.3,727.4,38.1,65.99166666666666
Madhya Pradesh,barwani,701.2,3.7,10.0,635.4,52.1,58.43333333333334
Madhya Pradesh,ashoknagar(gna,926.7,13.7,5.5,865.1,42.4,77.22500000000001
Madhya Pradesh,burhanpur,889.1,7.1,25.0,784.2,72.8,74.09166666666667
Madhya Pradesh,alirajpur(jba),863.6,6.1,11.7,799.0,46.8,71.96666666666667
Madhya Pradesh,balaghat,1481.6,36.2,28.9,1334.6,81.9,123.46666666666665
Madhya Pradesh,chhatarpur,1081.4,30.2,14.4,985.0,51.8,90.11666666666667
Madhya Pradesh,chhindwara,1021.6,32.2,34.1,882.8,72.5,85.13333333333334
Madhya Pradesh,jabalpur,1192.4,29.6,22.7,1090.3,49.8,99.36666666666667
Madhya Pradesh,mandla,1397.0,47.3,39.9,1245.8,64.0,116.41666666666667
